Gene id	PTTSmmMPDMSO1	PTTSmmMPGL1
B4galt3	1.485728	1.610675
B4galt4	0.950502	1.048509
B4galt5	29.229273	31.217700
B4galt6	6.581373	13.118965
B4galt7	12.581451	17.679788
B530045E10Rik	0.024363	0.054941
B630005N14Rik	8.151873	11.224078
B630019A10Rik	0.043485	0.176511
B830012L14Rik	0.041783	0.074387
B930041F14Rik	0.379603	0.273061
B930082K07Rik	0.012516	0.067739
B930094E09Rik	0.136030	0.337430
B9d1	0.219506	0.264000
B9d2	4.236390	4.480838
BB014433	0.000000	0.074204
BB218582	0.015095	0.068080
BB287469	0.195359	0.198246
BC002059	1.786844	2.725364
BC003331	5.395010	6.977410
BC003965	2.092328	2.921874
BC004004	4.280446	5.063006
BC005537	134.708908	150.778667
BC005561	1.976500	2.951373
BC005624	9.742442	10.258148
BC005764	0.259320	0.291923
BC006965	0.029374	0.057629
BC016548	0.036460	0.036999
BC016579	0.023609	0.044722
BC017158	1.401388	1.668111
BC017643	11.122563	13.923266
BC018242	0.390324	0.467364
BC018507	6.385367	8.520768
BC021785	0.128053	0.175510
BC021891	0.021138	0.059584
BC022687	1.706116	1.747506
BC023829	5.827427	7.019934
BC024139	0.020580	0.046410
BC024978	1.476449	1.763914
BC025446	0.019198	0.043294
BC025920	0.366809	0.412186
BC026585	1.966297	2.337836
BC027072	0.024022	0.043336
BC027231	2.458702	3.030115
BC028471	0.023032	0.045545
BC028528	12.585961	14.199072
BC029214	0.992438	1.150304
BC030307	0.118061	0.167728
BC030336	2.141022	3.042560
BC030499	0.105026	0.137924
BC030500	0.022286	0.045230
BC030867	0.055254	0.103834
BC030870	0.063063	0.028442
BC031181	29.047466	37.121288
BC034090	0.043693	0.084683
BC035044	0.085655	0.161244
BC035947	0.035117	0.043195
BC037034	3.833573	4.411336
BC039966	0.042466	0.019153
BC043934	0.347960	0.447261
BC046251	0.020883	0.038530
BC048403	2.157809	2.362888
BC048502	0.048122	0.021703
BC048507	0.019673	0.053236
BC048546	0.047250	0.109596
BC048562	0.057950	0.062727
BC048609	0.226978	0.281517
BC048644	0.028981	0.042778
BC048671	0.015068	0.091744
BC048679	0.101204	0.136933
BC049352	0.171998	0.232720
BC049635	0.017731	0.047980
BC049702	0.012700	0.068732
BC049715	0.229139	0.195811
BC049730	0.048027	0.025993
BC049762	0.142790	0.112700
BC050972	0.187582	0.287646
BC051019	0.067836	0.091784
BC051077	0.021306	0.079277
BC051142	0.065057	0.115342
BC051226	0.934140	0.789952
BC051537	0.019465	0.026337
BC051628	0.022562	0.045791
BC051665	0.032887	0.044497
BC052040	0.808876	1.073117
BC053393	0.045683	0.075547
BC053749	0.431050	0.504208
BC055111	0.081727	0.084560
BC055324	0.730336	0.932235
BC055402	0.024527	0.074667
BC061194	0.030851	0.033394
BC061195	0.276530	0.000000
BC061237	0.091889	0.041443
BC064078	0.460883	0.452103
BC065397	0.198925	0.256181
BC067074	0.027285	0.043339
BC068157	0.053562	0.095662
BC068281	1.289719	1.711332
BC089491	0.026969	0.082103
BC089597	0.052403	0.070903
BC094916	0.023263	0.083184
BC100451	2.039721	2.172468
BC100530	0.000000	0.055459
BC106179	0.157554	0.202244
BC107364	0.052826	0.059563
BC117090	0.051667	0.419447
BC147527	0.045965	0.053308
Baalc	0.010344	0.024494
Baat	0.010700	0.036192
Babam1	15.692327	16.464186
Bace1	1.994092	2.304888
Bace2	0.040734	0.036743
Bach1	21.108689	24.897379
Bach2	0.766422	1.144608
Bad	8.689848	10.508411
Bag1	30.510206	39.179017
Bag2	0.303987	0.442600
Bag3	6.227318	5.765004
Bag4	1.431618	1.731264
Bag5	3.771362	4.612654
Bag6	7.164123	6.920465
Bahcc1	0.042915	0.048388
Bahd1	5.020521	5.254743
Bai1	0.032305	0.052817
Bai2	0.032549	0.091016
Bai3	0.026848	0.060544
Baiap2	12.425938	19.054588
Baiap2l1	0.646124	0.696908
Baiap2l2	0.024086	0.037245
Baiap3	0.054317	0.061243
Bak1	18.728911	19.220321
Bambi	0.403812	0.532914
Banf1	10.834609	13.593446
Banf2	0.060226	0.054325
Bank1	0.162347	0.242324
Banp	2.060530	1.927604
Bap1	7.183921	8.646708
Bard1	0.183778	0.261609
Barhl1	0.066613	0.093468
Barhl2	0.017760	0.024030
Barx1	0.171951	0.211505
Barx2	0.023359	0.055311
Basp1	62.752166	75.310537
Batf	3.791744	4.897916
Batf2	0.343023	0.344502
Batf3	0.568825	0.645504
Bax	38.814563	42.927450
Baz1a	6.813714	8.918359
Baz1b	4.965717	6.264323
Baz2a	7.769378	8.482354
Baz2b	2.584082	3.525260
Bbc3	3.343614	3.333492
Bbip1	3.046012	4.075438
Bbox1	0.031414	0.077924
Bbs1	0.289948	0.397183
Bbs10	3.485894	4.636339
Bbs12	0.440179	0.561865
Bbs2	1.187467	1.404797
Bbs4	0.836271	1.129298
Bbs5	1.056961	1.301498
Bbs7	0.983715	1.341008
Bbs9	1.943107	2.239523
Bbx	3.353996	4.653071
Bcam	0.412180	0.481064
Bcan	0.021341	0.044917
Bcap29	8.398886	11.581038
Bcap31	102.863119	106.295969
Bcar1	0.208273	0.281801
Bcar3	4.425415	5.392964
Bcas1	0.056589	0.076567
Bcas2	4.910535	5.785887
Bcas3	1.891466	1.968156
Bcas3os2	0.206670	0.297108
Bcat1	0.136820	0.167767
Bcat2	8.618989	9.222722
Bccip	6.629747	8.249122
